Index,Value,Hierarchical_Cluster,Hierarchical_Silhouette,KMeans_Cluster,KMeans_Silhouette,Hierarchical_Cluster_Desc,KMeans_Cluster_Desc
1,0.202,2,0.6897558796463648,0,0.7177446079871826,0.190±0.032,0.190±0.032
2,0.25053,1,0.3549547601889813,1,0.21082625853609685,0.288±0.028,0.296±0.039
3,0.15014,2,0.667718090048424,0,0.687071186837365,0.190±0.032,0.190±0.032
4,0.2032,2,0.6813419285253485,0,0.7104595796267137,0.190±0.032,0.190±0.032
5,0.23712,2,0.06453309785736067,0,0.19886376775847717,0.190±0.032,0.190±0.032
6,0.17303,2,0.7282477154412506,0,0.7470103236887841,0.190±0.032,0.190±0.032
7,0.22345,2,0.4252051173773275,0,0.4922926139414986,0.190±0.032,0.190±0.032
8,0.13392,2,0.6121583155008146,0,0.6324933686469384,0.190±0.032,0.190±0.032
9,0.26813,1,0.6546142986290856,1,0.5494338541123026,0.288±0.028,0.296±0.039
10,0.28231,1,0.7499748681099345,1,0.6706717125917047,0.288±0.028,0.296±0.039
11,0.25027,1,0.34820811070760377,1,0.20341784035834168,0.288±0.028,0.296±0.039
12,0.54172,0,0.6710780827556533,2,0.7352955349629908,0.490±0.076,0.515±0.064
13,0.2239,2,0.41675834520539096,0,0.48525381522125804,0.190±0.032,0.190±0.032
14,0.20506,2,0.6659971462948577,0,0.6971379379625559,0.190±0.032,0.190±0.032
15,0.2892,1,0.7646371386435847,1,0.697090947446581,0.288±0.028,0.296±0.039
16,0.19043,2,0.7356202102858839,0,0.7568689497215939,0.190±0.032,0.190±0.032
17,0.15968,2,0.6996563188020756,0,0.7183692074378345,0.190±0.032,0.190±0.032
18,0.20291,2,0.6834984729736182,0,0.7123294274126001,0.190±0.032,0.190±0.032
19,0.17646,2,0.7331584741040733,0,0.7521085815333628,0.190±0.032,0.190±0.032
20,0.19599,2,0.7202495017370038,0,0.7439777335177283,0.190±0.032,0.190±0.032
21,0.19375,2,0.7278343090641343,0,0.7504158050456521,0.190±0.032,0.190±0.032
22,0.19919,2,0.7057897715428495,0,0.7315653264069653,0.190±0.032,0.190±0.032
23,0.13176,2,0.6045060472653921,0,0.6249703880445874,0.190±0.032,0.190±0.032
24,0.46558,0,0.6092010342003096,2,0.5990830066534584,0.490±0.076,0.515±0.064
25,0.08347,2,0.46637606882013494,0,0.48772788893546176,0.190±0.032,0.190±0.032
26,0.30708,1,0.7447671062289165,1,0.7055208594732064,0.288±0.028,0.296±0.039
27,0.63318,0,0.5566627965722644,2,0.6182608364355151,0.490±0.076,0.515±0.064
28,0.18768,2,0.7392143055615061,0,0.7596443661569906,0.190±0.032,0.190±0.032
29,0.22785,2,0.33394976117993386,0,0.4166726988722941,0.190±0.032,0.190±0.032
30,0.5,0,0.6740636526157991,2,0.7149015472039901,0.490±0.076,0.515±0.064
31,0.26072,1,0.5595347783348339,1,0.43924011467280655,0.288±0.028,0.296±0.039
32,0.23663,2,0.08245137751830849,0,0.21313017018609035,0.190±0.032,0.190±0.032
33,0.28569,1,0.7594160874404386,1,0.6859231505520742,0.288±0.028,0.296±0.039
34,0.43599,0,0.45970422295509267,2,0.35980788082471726,0.490±0.076,0.515±0.064
35,0.29144,1,0.7649376520362556,1,0.7012139497683971,0.288±0.028,0.296±0.039
36,0.25847,1,0.5232374764152915,1,0.39798633390325666,0.288±0.028,0.296±0.039
37,0.40014,0,0.10079688131245473,1,0.07452873468206866,0.490±0.076,0.296±0.039
38,0.18564,2,0.7405045371968595,0,0.7604593411816594,0.190±0.032,0.190±0.032
39,0.19312,2,0.7296424444762329,0,0.7519371854227787,0.190±0.032,0.190±0.032
40,0.1988,2,0.7077630711011834,0,0.7332635164298352,0.190±0.032,0.190±0.032
41,0.14738,2,0.6580727251008534,0,0.6776189321782237,0.190±0.032,0.190±0.032
42,0.30129,1,0.7552757225644201,1,0.7074557694200613,0.288±0.028,0.296±0.039
43,0.26363,1,0.6006809607067238,1,0.48655758024199564,0.288±0.028,0.296±0.039
44,0.25774,1,0.5102607965869517,1,0.38338844592300697,0.288±0.028,0.296±0.039
45,0.16536,2,0.7141213840094861,0,0.7327046580362974,0.190±0.032,0.190±0.032
46,0.20199,2,0.6898193442908894,0,0.7177993854360484,0.190±0.032,0.190±0.032
47,0.18878,2,0.7380615784979098,0,0.7587915452593975,0.190±0.032,0.190±0.032
48,0.15629,2,0.6888331474885504,0,0.707751535349881,0.190±0.032,0.190±0.032
49,0.58401,0,0.6262348296534577,2,0.6940038445541099,0.490±0.076,0.515±0.064
50,0.2348,2,0.1450993583820669,0,0.2632428451066941,0.190±0.032,0.190±0.032
51,0.42094,0,0.34197822780178894,2,0.17247658921095146,0.490±0.076,0.515±0.064
52,0.35006,1,0.5433694838525706,1,0.6114386808085508,0.288±0.028,0.296±0.039
53,0.17063,2,0.724180133213444,0,0.7428603926693141,0.190±0.032,0.190±0.032
54,0.24852,1,0.29934048109008937,1,0.15010327062299728,0.288±0.028,0.296±0.039
55,0.52979,0,0.6795173666315927,2,0.7403541188460164,0.490±0.076,0.515±0.064
56,0.21451,2,0.5628488209808193,0,0.6083059148882397,0.190±0.032,0.190±0.032
57,0.20448,2,0.671042979451942,0,0.701519949470008,0.190±0.032,0.190±0.032
58,0.18207,2,0.7396093897573559,0,0.7590081777743236,0.190±0.032,0.190±0.032
59,0.33278,1,0.660228570463224,1,0.654749255474736,0.288±0.028,0.296±0.039
60,0.30671,1,0.7456458143394443,1,0.7058567880550121,0.288±0.028,0.296±0.039
61,0.20578,2,0.6592906310883786,0,0.6913088943355772,0.190±0.032,0.190±0.032
62,0.30931,1,0.7384140311807629,1,0.7024680896714524,0.288±0.028,0.296±0.039
63,0.30281,1,0.7530898967780137,1,0.7075481947586999,0.288±0.028,0.296±0.039
64,0.46861,0,0.6193493815386544,2,0.6157412080058039,0.490±0.076,0.515±0.064
65,0.48188,0,0.6502835954397044,2,0.6692695380153059,0.490±0.076,0.515±0.064
66,0.60684,0,0.5967425896027796,2,0.6630156272730845,0.490±0.076,0.515±0.064
67,0.34835,1,0.5605366953091988,1,0.6158954499329392,0.288±0.028,0.296±0.039
